area_code,PRO_NAME,LEVEL_2_TYPE,priority_no,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
027Y,龙虾项目,虾类,12,万元,海鲜水产类,
579Y,肉类熟食项目,其他肉类熟食,2,万元,生鲜肉类,
024Y,花卉苗木项目,花木盆景,9,万元,花卉苗木类,
028Y,花卉苗木项目,花木盆景,12,万元,花卉苗木类,
510Y,茶叶项目,花茶,3,万元,茶叶类,
991Y,茶叶项目,花茶,15,万元,茶叶类,
752Y,蔬菜项目,其他蔬菜,9,万元,生鲜果蔬类,
752Y,其他常温水果项目,枇杷,8,万元,生鲜果蔬类,
752Y,桃项目,鹰嘴桃,11,万元,生鲜果蔬类,
551Y,活体项目,禽类,22,万元,活体类,
752Y,活体项目,虫类,23,万元,活体类,
551Y,粮油副食项目,粮油米面调料,5,万元,粮油米面调料类,
551Y,花卉苗木项目,花木盆景,9,万元,花卉苗木类,
020Y,杨梅项目,杨梅,19,万元,生鲜果蔬类,
851Y,蔬菜项目,椿芽,3,万元,生鲜果蔬类,
371Y,其他常温水果项目,杏子,14,万元,生鲜果蔬类,
451Y,其他常温水果项目,菇娘,5,万元,生鲜果蔬类,
451Y,干货项目,核桃,6,万元,南北干货类,
024Y,蔬菜项目,山药,21,万元,生鲜果蔬类,
532Y,海鲜水产项目,小龙虾,1,万元,海鲜水产类,
513Y,花卉苗木项目,花木盆景,8,万元,花卉苗木类,
592Y,其他常温水果项目,柿子,5,万元,生鲜果蔬类,
512Y,蔬菜项目,山药,7,万元,生鲜果蔬类,
752Y,粮油副食项目,黄豆,14,万元,粮油米面调料类,
760Y,花卉苗木项目,种子,12,万元,花卉苗木类,
871Y,干货项目,核桃,8,万元,其他,
023Y,肉类熟食项目,其他肉类熟食,1,万元,生鲜肉类,
551Y,肉类熟食项目,其他肉类熟食,3,万元,生鲜肉类,
010Y,滋补品项目,蜂蜜,8,万元,其他,
757Y,蔬菜项目,食用菌,14,万元,生鲜果蔬类,
371Y,其他常温水果项目,菠萝,14,万元,生鲜果蔬类,
371Y,草莓项目,草莓,17,万元,生鲜果蔬类,
027Y,花卉苗木项目,鲜花,9,万元,花卉苗木类,
431Y,瓜项目,西瓜,11,万元,生鲜果蔬类,
531Y,牛羊肉项目,牛羊肉,8,万元,生鲜肉类,
536Y,粮油副食项目,艾草,9,万元,南北干货类,
513Y,肉类熟食项目,肉丸,3,万元,生鲜肉类,
574Y,大米项目,大米,14,万元,粮油米面调料类,
592Y,肉类熟食项目,红肠,6,万元,生鲜肉类,
029Y,粮油副食项目,花椒,12,万元,粮油米面调料类,
755Y,干货项目,核桃,3,万元,南北干货类,
517Y,海鲜水产项目,牡蛎,1,万元,海鲜水产类,
023Y,花卉苗木项目,干花,5,万元,花卉苗木类,
020Y,活体项目,观赏类,22,万元,活体类,
010Y,其他常温水果项目,其他水果,10,万元,生鲜果蔬类,
757Y,干货项目,坚果,11,万元,南北干货类,
771Y,肉类熟食项目,肉丸,6,万元,生鲜肉类,
898Y,肉类熟食项目,其他肉类熟食,6,万元,生鲜肉类,
371Y,其他常温水果项目,柚子,14,万元,生鲜果蔬类,
371Y,海鲜水产项目,海参,9,万元,海鲜水产类,
451Y,茶叶项目,茶叶,11,万元,茶叶类,
024Y,海鲜水产项目,海参,1,万元,海鲜水产类,
536Y,花卉苗木项目,花木盆景,4,万元,花卉苗木类,
574Y,猕猴桃项目,猕猴桃,20,万元,生鲜果蔬类,
595Y,蔬菜项目,其他蔬菜,11,万元,生鲜果蔬类,
351Y,蔬菜项目,辣椒,10,万元,生鲜果蔬类,
755Y,其他常温水果项目,哈密瓜,12,万元,生鲜果蔬类,
755Y,其他常温水果项目,樱桃,12,万元,生鲜果蔬类,
451Y,肉类熟食项目,蛋奶制品,2,万元,生鲜肉类,
027Y,花卉苗木项目,种子,9,万元,花卉苗木类,
731Y,海鲜水产项目,其他海鲜水产,7,万元,海鲜水产类,
431Y,蔬菜项目,食用菌,2,万元,生鲜果蔬类,
579Y,蟹项目,海蟹,15,万元,海鲜水产类,
024Y,粮油副食项目,黄豆,14,万元,粮油米面调料类,
532Y,蔬菜项目,松茸,5,万元,生鲜果蔬类,
513Y,干货项目,咖啡,6,万元,南北干货类,
471Y,粮油副食项目,蛋奶制品,4,万元,生鲜肉类,
595Y,桃项目,鹰嘴桃,18,万元,生鲜果蔬类,
592Y,其他常温水果项目,杏子,5,万元,生鲜果蔬类,
028Y,茶叶项目,花茶,2,万元,茶叶类,
512Y,海鲜水产项目,虾类,4,万元,海鲜水产类,
022Y,蔬菜项目,辣椒,7,万元,生鲜果蔬类,
010Y,蔬菜项目,食用菌,13,万元,生鲜果蔬类,
010Y,海鲜水产项目,其他海鲜水产,6,万元,海鲜水产类,
431Y,蟹项目,蟹类,19,万元,海鲜水产类,
536Y,海鲜水产项目,小龙虾,1,万元,海鲜水产类,
513Y,中秋项目,月饼,9,万元,假日类,
471Y,梨项目,梨,13,万元,生鲜果蔬类,
595Y,干货项目,坚果,6,万元,南北干货类,
592Y,蔬菜项目,香菇,8,万元,生鲜果蔬类,
592Y,蔬菜项目,其他蔬菜,8,万元,生鲜果蔬类,
029Y,肉类熟食项目,其他肉类熟食,14,万元,生鲜肉类,
755Y,其他常温水果项目,葡萄,12,万元,生鲜果蔬类,
991Y,海鲜水产项目,其他海鲜水产,19,万元,海鲜水产类,
991Y,干货项目,坚果,1,万元,南北干货类,
023Y,粮油副食项目,大米,10,万元,粮油米面调料类,
551Y,牛羊肉项目,牛羊肉,10,万元,生鲜肉类,
010Y,肉类熟食项目,红肠,9,万元,生鲜肉类,
757Y,滋补品项目,中药材,5,万元,南北干货类,
771Y,其他常温水果项目,菠萝,12,万元,生鲜果蔬类,
020Y,海鲜水产项目,水鱼,2,万元,海鲜水产类,
371Y,蔬菜项目,萝卜,4,万元,生鲜果蔬类,
731Y,其他常温水果项目,柠檬,23,万元,生鲜果蔬类,
532Y,干货项目,参产品类,4,万元,南北干货类,
513Y,蔬菜项目,其他蔬菜,4,万元,生鲜果蔬类,
512Y,粽子项目,粽子,11,万元,假日类,
022Y,茶叶项目,花茶,3,万元,茶叶类,
577Y,枇杷项目,枇杷,11,万元,生鲜果蔬类,
871Y,蔬菜项目,其他蔬菜,4,万元,生鲜果蔬类,
023Y,其他常温水果项目,其他水果,6,万元,生鲜果蔬类,
577Y,活体项目,观赏类,15,万元,活体类,
551Y,其他常温水果项目,其他水果,11,万元,生鲜果蔬类,
010Y,其他常温水果项目,圣女果,10,万元,生鲜果蔬类,
020Y,肉类熟食项目,红肠,8,万元,生鲜肉类,
020Y,海鲜水产项目,其他海鲜水产,2,万元,海鲜水产类,
851Y,粮油副食项目,蛋奶制品,10,万元,粮油米面调料类,
371Y,滋补品项目,银耳,2,万元,南北干货类,
024Y,海鲜水产项目,查干湖鱼,1,万元,海鲜水产类,
574Y,蔬菜项目,其他蔬菜,7,万元,生鲜果蔬类,
595Y,梨项目,梨,19,万元,生鲜果蔬类,
871Y,石榴项目,石榴,14,万元,生鲜果蔬类,
023Y,粽子项目,粽子,12,万元,假日类,
023Y,滋补品项目,鹿产品类,4,万元,南北干货类,
769Y,花卉苗木项目,种子,10,万元,花卉苗木类,
757Y,肉类熟食项目,红肠,3,万元,生鲜肉类,
731Y,杨梅项目,杨梅,10,万元,生鲜果蔬类,
731Y,梨项目,梨,21,万元,生鲜果蔬类,
316Y,梨项目,梨,17,万元,生鲜果蔬类,
579Y,蔬菜项目,虫草,4,万元,生鲜果蔬类,
536Y,蔬菜项目,其他蔬菜,3,万元,生鲜果蔬类,
536Y,蔬菜项目,萝卜,3,万元,生鲜果蔬类,
351Y,梨项目,梨,9,万元,生鲜果蔬类,
510Y,大米项目,大米,19,万元,粮油米面调料类,
752Y,蔬菜项目,羊肚菌,9,万元,生鲜果蔬类,
760Y,肉类熟食项目,肉丸,5,万元,生鲜肉类,
571Y,葡萄项目,葡萄,15,万元,生鲜果蔬类,
510Y,活体项目,观赏类,22,万元,活体类,
791Y,活体项目,观赏类,22,万元,活体类,
551Y,干货项目,南北干货,6,万元,南北干货类,
771Y,花卉苗木项目,鲜花,8,万元,花卉苗木类,
371Y,粮油副食项目,花椒,11,万元,粮油米面调料类,
027Y,蔬菜项目,土豆,2,万元,生鲜果蔬类,
431Y,肉类熟食项目,肉丸,4,万元,生鲜肉类,
531Y,海鲜水产项目,水鱼,5,万元,海鲜水产类,
531Y,瓜项目,甜瓜,15,万元,生鲜果蔬类,
316Y,茶叶项目,花茶,11,万元,茶叶类,
579Y,蔬菜项目,柿子,4,万元,生鲜果蔬类,
024Y,其他常温水果项目,甜瓜,12,万元,生鲜果蔬类,
532Y,蔬菜项目,凉瓜,5,万元,生鲜果蔬类,
755Y,中秋项目,月饼,2,万元,假日类,
755Y,肉类熟食项目,其他肉类熟食,10,万元,生鲜肉类,
028Y,海鲜水产项目,鱼类,24,万元,海鲜水产类,
510Y,干货项目,南北干货,12,万元,南北干货类,
752Y,蔬菜项目,椿芽,9,万元,生鲜果蔬类,
760Y,其他常温水果项目,柠檬,6,万元,生鲜果蔬类,
021Y,活体项目,禽类,13,万元,活体类,
371Y,滋补品项目,蜂蜜,2,万元,其他,
027Y,李子项目,李子,19,万元,生鲜果蔬类,
027Y,海鲜水产项目,水鱼,13,万元,海鲜水产类,
731Y,肉类熟食项目,红肠,1,万元,生鲜肉类,
024Y,干货项目,蜂蜜,10,万元,其他,
025Y,粮油副食项目,蛋奶制品,2,万元,生鲜肉类,
592Y,芒果项目,芒果,21,万元,生鲜果蔬类,
517Y,蔬菜项目,笋,6,万元,生鲜果蔬类,
512Y,蔬菜项目,羊肚菌,7,万元,生鲜果蔬类,
022Y,花卉苗木项目,干花,8,万元,花卉苗木类,
577Y,杨梅项目,杨梅,1,万元,生鲜果蔬类,
871Y,粽子项目,粽子,22,万元,假日类,
871Y,粮油副食项目,蛋奶制品,10,万元,粮油米面调料类,
571Y,海鲜水产项目,虾类,8,万元,海鲜水产类,
771Y,其他常温水果项目,百香果,12,万元,生鲜果蔬类,
731Y,其他常温水果项目,柿子,23,万元,生鲜果蔬类,
316Y,蔬菜项目,辣椒,5,万元,生鲜果蔬类,
532Y,海鲜水产项目,水鱼,1,万元,海鲜水产类,
513Y,海鲜水产项目,鱼类,2,万元,海鲜水产类,
595Y,柚子项目,柚子,8,万元,生鲜果蔬类,
595Y,粮油副食项目,粮油米面调料,12,万元,粮油米面调料类,
028Y,花卉苗木项目,鲜花,12,万元,花卉苗木类,
991Y,蔬菜项目,桑葚,10,万元,生鲜果蔬类,
752Y,肉类熟食项目,鸡肉,2,万元,生鲜肉类,
769Y,其他常温水果项目,菠萝,4,万元,生鲜果蔬类,
769Y,牛羊肉项目,牛羊肉,11,万元,生鲜肉类,
769Y,大米项目,大米,14,万元,粮油米面调料类,
757Y,参茸项目,鹿产品类,28,万元,南北干货类,
851Y,肉类熟食项目,鸡肉,2,万元,生鲜肉类,
531Y,茶叶项目,茶叶,3,万元,茶叶类,
316Y,海鲜水产项目,水鱼,1,万元,海鲜水产类,
311Y,桃项目,水蜜桃,8,万元,生鲜果蔬类,
791Y,蔬菜项目,红薯,6,万元,生鲜果蔬类,
513Y,花卉苗木项目,种子,8,万元,花卉苗木类,
021Y,桃项目,水蜜桃,8,万元,生鲜果蔬类,
028Y,花卉苗木项目,树苗,12,万元,花卉苗木类,
517Y,茶叶项目,茶叶,10,万元,茶叶类,
510Y,花卉苗木项目,花木盆景,8,万元,花卉苗木类,
760Y,柚子项目,柚子,22,万元,生鲜果蔬类,
760Y,干货项目,南北干货,3,万元,南北干货类,
931Y,虫草项目,虫草,3,万元,生鲜果蔬类,
371Y,干货项目,参产品类,6,万元,南北干货类,
451Y,蔬菜项目,山菜,4,万元,生鲜果蔬类,
451Y,瓜项目,哈密瓜,9,万元,生鲜果蔬类,
027Y,肉类熟食项目,肉丸,1,万元,生鲜肉类,
731Y,粮油副食项目,花椒,4,万元,粮油米面调料类,
431Y,海鲜水产项目,鱼类,5,万元,海鲜水产类,
531Y,蔬菜项目,红薯,2,万元,生鲜果蔬类,
531Y,花卉苗木项目,百合,4,万元,花卉苗木类,
579Y,猕猴桃项目,猕猴桃,14,万元,生鲜果蔬类,
024Y,其他常温水果项目,哈密瓜,12,万元,生鲜果蔬类,
025Y,花卉苗木项目,种子,7,万元,花卉苗木类,
025Y,海鲜水产项目,鱼类,10,万元,海鲜水产类,
755Y,蟹项目,蟹类,13,万元,海鲜水产类,
022Y,蔬菜项目,山菜,7,万元,生鲜果蔬类,
991Y,滋补品项目,中药材,12,万元,南北干货类,
571Y,花卉苗木项目,花木盆景,4,万元,花卉苗木类,
517Y,活体项目,观赏类,14,万元,活体类,
020Y,牛羊肉项目,牛羊肉,7,万元,生鲜肉类,
851Y,肉类熟食项目,其他肉类熟食,2,万元,生鲜肉类,
371Y,瓜项目,甜瓜,23,万元,生鲜果蔬类,
579Y,花卉苗木项目,鲜花,5,万元,花卉苗木类,
536Y,干货项目,南北干货,10,万元,南北干货类,
595Y,肉类熟食项目,肉丸,3,万元,生鲜肉类,
595Y,花卉苗木项目,花木盆景,5,万元,花卉苗木类,
029Y,蔬菜项目,山菜,11,万元,生鲜果蔬类,
028Y,蔬菜项目,羊肚菌,11,万元,生鲜果蔬类,
517Y,苹果项目,苹果,13,万元,生鲜果蔬类,
871Y,其他常温水果项目,李子,7,万元,生鲜果蔬类,
010Y,蔬菜项目,其他蔬菜,13,万元,生鲜果蔬类,
771Y,其他常温水果项目,黄皮,12,万元,生鲜果蔬类,
771Y,海鲜水产项目,其他海鲜水产,5,万元,海鲜水产类,
316Y,葡萄项目,葡萄,10,万元,生鲜果蔬类,
311Y,干货项目,坚果,5,万元,南北干货类,
579Y,葡萄项目,葡萄,8,万元,生鲜果蔬类,
024Y,干货项目,南北干货,10,万元,南北干货类,
532Y,海鲜水产项目,鱼类,1,万元,海鲜水产类,
536Y,海鲜水产项目,查干湖鱼,1,万元,海鲜水产类,
513Y,蟹项目,青蟹,1,万元,海鲜水产类,
513Y,草莓项目,草莓,16,万元,生鲜果蔬类,
595Y,中秋项目,月饼,9,万元,假日类,
592Y,其他常温水果项目,蓝莓,5,万元,生鲜果蔬类,
351Y,瓜项目,哈密瓜,18,万元,生鲜果蔬类,
755Y,花卉苗木项目,干花,7,万元,花卉苗木类,
517Y,海鲜水产项目,虾类,1,万元,海鲜水产类,
760Y,火龙果项目,火龙果,19,万元,生鲜果蔬类,
757Y,其他常温水果项目,圣女果,8,万元,生鲜果蔬类,
771Y,粮油副食项目,粮油米面调料,7,万元,粮油米面调料类,
771Y,粮油副食项目,黄豆,7,万元,粮油米面调料类,
898Y,肉类熟食项目,蛋奶制品,6,万元,生鲜肉类,
371Y,肉类熟食项目,蚕蛹,1,万元,生鲜肉类,
451Y,滋补品项目,蜂蜜,13,万元,其他,
451Y,干货项目,板栗,6,万元,南北干货类,
027Y,桔橙项目,桔橙,3,万元,生鲜果蔬类,
027Y,花卉苗木项目,树苗,9,万元,花卉苗木类,
731Y,葡萄项目,葡萄,16,万元,生鲜果蔬类,
431Y,蔬菜项目,辣椒,2,万元,生鲜果蔬类,
531Y,海鲜水产项目,鲅鱼,5,万元,海鲜水产类,
316Y,海鲜水产项目,小龙虾,1,万元,海鲜水产类,
024Y,其他常温水果项目,杏子,12,万元,生鲜果蔬类,
025Y,蟹项目,蟹类,1,万元,海鲜水产类,
574Y,海鲜水产项目,贝类,1,万元,海鲜水产类,
021Y,樱桃项目,樱桃,11,万元,生鲜果蔬类,
577Y,其他常温水果项目,草莓,10,万元,生鲜果蔬类,
510Y,桃项目,水蜜桃,1,万元,生鲜果蔬类,
991Y,瓜项目,甜瓜,4,万元,生鲜果蔬类,
023Y,海鲜水产项目,鲅鱼,13,万元,海鲜水产类,
551Y,干货项目,坚果,6,万元,南北干货类,
757Y,茶叶项目,茶叶,4,万元,茶叶类,
771Y,榴莲项目,榴莲,14,万元,生鲜果蔬类,
020Y,肉类熟食项目,肉丸,8,万元,生鲜肉类,
020Y,海鲜水产项目,虾类,2,万元,海鲜水产类,
451Y,海鲜水产项目,海参,7,万元,海鲜水产类,
531Y,桃项目,水蜜桃,11,万元,生鲜果蔬类,
579Y,蟹项目,蟹类,15,万元,海鲜水产类,
532Y,蔬菜项目,其他蔬菜,5,万元,生鲜果蔬类,
532Y,苹果项目,苹果,3,万元,生鲜果蔬类,
532Y,茶叶项目,茶叶,6,万元,茶叶类,
025Y,肉类熟食项目,鸡肉,2,万元,生鲜肉类,
513Y,蔬菜项目,萝卜,4,万元,生鲜果蔬类,
029Y,蔬菜项目,萝卜,11,万元,生鲜果蔬类,
510Y,花卉苗木项目,鲜花,8,万元,花卉苗木类,
871Y,其他生鲜水果项目,西梅,17,万元,生鲜果蔬类,
851Y,海鲜水产项目,虾类,25,万元,海鲜水产类,
371Y,干货项目,核桃,6,万元,南北干货类,
731Y,柚子项目,柚子,19,万元,生鲜果蔬类,
531Y,蔬菜项目,椿芽,2,万元,生鲜果蔬类,
531Y,干货项目,南北干货,10,万元,南北干货类,
024Y,蔬菜项目,萝卜,21,万元,生鲜果蔬类,
536Y,瓜项目,西瓜,11,万元,生鲜果蔬类,
574Y,肉类熟食项目,其他肉类熟食,17,万元,生鲜肉类,
592Y,其他常温水果项目,杨桃,5,万元,生鲜果蔬类,
029Y,粮油副食项目,黄豆,12,万元,粮油米面调料类,
029Y,干货项目,核桃,5,万元,南北干货类,
755Y,其他常温水果项目,黄皮,12,万元,生鲜果蔬类,
022Y,中秋项目,月饼,4,万元,假日类,
022Y,肉类熟食项目,其他肉类熟食,9,万元,生鲜肉类,
022Y,海鲜水产项目,鲅鱼,1,万元,海鲜水产类,
752Y,其他常温水果项目,柿子,8,万元,生鲜果蔬类,
752Y,花卉苗木项目,种子,17,万元,花卉苗木类,
752Y,花卉苗木项目,树苗,17,万元,花卉苗木类,
010Y,花卉苗木项目,干花,14,万元,花卉苗木类,
010Y,活体项目,观赏类,6,万元,活体类,
851Y,花卉苗木项目,花木盆景,24,万元,花卉苗木类,
027Y,其他常温水果项目,黑老虎,7,万元,生鲜果蔬类,
027Y,虫草项目,虫草,24,万元,生鲜果蔬类,
532Y,海鲜水产项目,鲅鱼,1,万元,海鲜水产类,
510Y,干货项目,坚果,12,万元,南北干货类,
991Y,李子项目,李子,24,万元,生鲜果蔬类,
752Y,蔬菜项目,山药,9,万元,生鲜果蔬类,
752Y,其他常温水果项目,红毛丹,8,万元,生鲜果蔬类,
752Y,其他常温水果项目,柠檬,8,万元,生鲜果蔬类,
760Y,海鲜水产项目,水鱼,2,万元,海鲜水产类,
571Y,草莓项目,草莓,12,万元,生鲜果蔬类,
551Y,茶叶项目,花茶,1,万元,茶叶类,
010Y,蟹项目,蟹类,15,万元,海鲜水产类,
769Y,蔬菜项目,萝卜,6,万元,生鲜果蔬类,
769Y,其他常温水果项目,菠萝蜜,4,万元,生鲜果蔬类,
771Y,粮油副食项目,青稞,7,万元,粮油米面调料类,
316Y,海鲜水产项目,海蟹,1,万元,海鲜水产类,
579Y,蔬菜项目,鸡头米,4,万元,生鲜果蔬类,
532Y,蔬菜项目,萝卜,5,万元,生鲜果蔬类,
532Y,海鲜水产项目,牡蛎,1,万元,海鲜水产类,
025Y,蔬菜项目,鸡头米,5,万元,生鲜果蔬类,
021Y,海鲜水产项目,鱼类,2,万元,海鲜水产类,
755Y,干货项目,中药材,3,万元,南北干货类,
022Y,葡萄项目,葡萄,13,万元,生鲜果蔬类,
510Y,蟹项目,蟹类,2,万元,海鲜水产类,
510Y,其他常温水果项目,其他水果,5,万元,生鲜果蔬类,
991Y,虫草项目,虫草,27,万元,生鲜果蔬类,
760Y,海鲜水产项目,贝类,2,万元,海鲜水产类,
551Y,苹果项目,苹果,19,万元,生鲜果蔬类,
931Y,桃项目,水蜜桃,5,万元,生鲜果蔬类,
020Y,桃项目,鹰嘴桃,14,万元,生鲜果蔬类,
851Y,葡萄项目,葡萄,17,万元,生鲜果蔬类,
371Y,肉类熟食项目,知了猴,1,万元,生鲜肉类,
531Y,花卉苗木项目,花木盆景,4,万元,花卉苗木类,
531Y,海鲜水产项目,虾类,5,万元,海鲜水产类,
531Y,干货项目,核桃,10,万元,南北干货类,
316Y,海鲜水产项目,海蜇,1,万元,海鲜水产类,
579Y,花卉苗木项目,干花,5,万元,花卉苗木类,
536Y,肉类熟食项目,红肠,5,万元,生鲜肉类,
513Y,瓜项目,木瓜,13,万元,生鲜果蔬类,
513Y,干货项目,坚果,6,万元,南北干货类,
592Y,海鲜水产项目,小龙虾,1,万元,海鲜水产类,
028Y,蔬菜项目,折耳根,11,万元,生鲜果蔬类,
512Y,蟹项目,蟹类,1,万元,海鲜水产类,
760Y,肉类熟食项目,其他肉类熟食,5,万元,生鲜肉类,
571Y,干货项目,银耳,3,万元,南北干货类,
316Y,活体项目,禽类,18,万元,活体类,
757Y,参茸项目,参产品类,28,万元,南北干货类,
371Y,蔬菜项目,羊肚菌,4,万元,生鲜果蔬类,
431Y,粽子项目,粽子,18,万元,假日类,
532Y,干货项目,干枣,4,万元,南北干货类,
532Y,干货项目,香菇,4,万元,南北干货类,
595Y,干货项目,南北干货,6,万元,南北干货类,
592Y,其他常温水果项目,八月瓜,5,万元,生鲜果蔬类,
351Y,枣项目,干枣,6,万元,南北干货类,
351Y,石榴项目,石榴,21,万元,生鲜果蔬类,
022Y,桃项目,鹰嘴桃,17,万元,生鲜果蔬类,
871Y,葡萄项目,葡萄,12,万元,生鲜果蔬类,
010Y,肉类熟食项目,其他肉类熟食,9,万元,生鲜肉类,
771Y,肉类熟食项目,蛋奶制品,6,万元,生鲜肉类,
431Y,干货项目,南北干货,3,万元,南北干货类,
531Y,茶叶项目,花茶,3,万元,茶叶类,
316Y,海鲜水产项目,鲅鱼,1,万元,海鲜水产类,
579Y,海鲜水产项目,海参,7,万元,海鲜水产类,
024Y,干货项目,坚果,10,万元,南北干货类,
536Y,粮油副食项目,大米,9,万元,粮油米面调料类,
471Y,蔬菜项目,其他蔬菜,2,万元,生鲜果蔬类,
574Y,桃项目,水蜜桃,4,万元,生鲜果蔬类,
755Y,花卉苗木项目,花木盆景,7,万元,花卉苗木类,
577Y,桃项目,水蜜桃,12,万元,生鲜果蔬类,
760Y,其他常温水果项目,圣女果,6,万元,生鲜果蔬类,
760Y,花卉苗木项目,鲜花,12,万元,花卉苗木类,
023Y,茶叶项目,花茶,7,万元,茶叶类,
020Y,荔枝项目,荔枝,1,万元,生鲜果蔬类,
371Y,肉类熟食项目,其他肉类熟食,1,万元,生鲜肉类,
431Y,海鲜水产项目,其他海鲜水产,5,万元,海鲜水产类,
536Y,茶叶项目,花茶,6,万元,茶叶类,
574Y,海鲜水产项目,虾类,1,万元,海鲜水产类,
351Y,草莓项目,草莓,20,万元,生鲜果蔬类,
028Y,肉类熟食项目,其他肉类熟食,1,万元,生鲜肉类,
517Y,花卉苗木项目,干花,2,万元,花卉苗木类,
512Y,蔬菜项目,萝卜,7,万元,生鲜果蔬类,
512Y,其他常温水果项目,柿子,18,万元,生鲜果蔬类,
022Y,花卉苗木项目,花木盆景,8,万元,花卉苗木类,
577Y,茶叶项目,花茶,7,万元,茶叶类,
510Y,其他常温水果项目,苹果,5,万元,生鲜果蔬类,
752Y,中秋项目,月饼,6,万元,假日类,
760Y,其他常温水果项目,柿子,6,万元,生鲜果蔬类,
871Y,其他常温水果项目,菠萝,7,万元,生鲜果蔬类,
898Y,其他常温水果项目,柠檬,1,万元,生鲜果蔬类,
898Y,海鲜水产项目,水鱼,5,万元,海鲜水产类,
731Y,其他常温水果项目,黄皮,23,万元,生鲜果蔬类,
731Y,花卉苗木项目,鲜花,12,万元,花卉苗木类,
791Y,蓝莓项目,蓝莓,21,万元,生鲜果蔬类,
791Y,茶叶项目,花茶,2,万元,茶叶类,
